"NAME","CODE__C","CUSTCLOSURE__C","TECHCLOSURE__C","STATUS__C","EXTSYSTEM__C"
"OMC_INVSHPMETH_N2","OMC_INVSHPMETH_N2","","","KO","SY_OMC"
"OMF_INVSHPADDR_N4","OMF_INVSHPADDR_N4","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"OMC_INVSHPMETH_SBL","OMC_INVSHPMETH_SBL","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"OMF_INVSHPADDR_N1","OMF_INVSHPADDR_N1","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"OMF_INVSHPADDR_N7","OMF_INVSHPADDR_N7","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"OMC_INVSHPMETH_N1","OMC_INVSHPMETH_N1","","","KO","SY_OMC"
"OMF_INVSHPADDR_N2","OMF_INVSHPADDR_N2","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"OMF_INVSHPADDR_N5","OMF_INVSHPADDR_N5","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"OMF_INVSHPADDR_N9","OMF_INVSHPADDR_N9","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"OMF_INVSHPADDR_N3","OMF_INVSHPADDR_N3","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"OMF_INVSHPADDR_N10","OMF_INVSHPADDR_N10","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMF"
"PEGCC_RCT_002","PEGCC_RCT_002","","","OK","SY_PEG"
"PEGCC_RCT_001","PEGCC_RCT_001","Abbiamo provato a contattarti ma non ti abbiamo trovato. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"OMC_INVSHPADDR_0","OMC_INVSHPADDR_0","La tua richiesta è completata","","OK","SY_OMC"
"OMC_INVSHPADDR_002","OMC_INVSHPADDR_002","La tua richiesta non è andata a buon fine. Procedi con un nuovo inserimento, se desideri ulteriori informazioni accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_OMC"
"PEGCC_TKO_003","PEGCC_TKO_003","La tua richiesta è completata.","","OK","SY_PEG"
"PEGCC_AGV_001","PEGCC_AGV_001","La tua richiesta è completata","","OK","SY_PEG"
"PEGCC_HMV_001","PEGCC_HMV_001","La tua richiesta è completata","","OK","SY_PEG"
"PEGCC_AGV_002","PEGCC_AGV_002","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_VAC_008","PEGCC_VAC_008","Per maggiori informazioni su questa richiesta accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_VAC_007","PEGCC_VAC_007","Per maggiori informazioni su questa richiesta accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_PEG"
"PEGCC_TKO_002","PEGCC_TKO_002","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_009","PEGCC_MOP_009","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_010","PEGCC_MOP_010","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_011","PEGCC_MOP_011","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_012","PEGCC_MOP_012","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_013","PEGCC_MOP_013","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_014","PEGCC_MOP_014","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_015","PEGCC_MOP_015","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_016","PEGCC_MOP_016","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_017","PEGCC_MOP_017","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_018","PEGCC_MOP_018","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_019","PEGCC_MOP_019","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_020","PEGCC_MOP_020","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_021","PEGCC_MOP_021","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_022","PEGCC_MOP_022","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_023","PEGCC_MOP_023","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_024","PEGCC_MOP_024","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_025","PEGCC_MOP_025","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_026","PEGCC_MOP_026","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_027","PEGCC_MOP_027","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_028","PEGCC_MOP_028","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_MOP_029","PEGCC_MOP_029","La tua richiesta non è andata a buon fine. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_RMB_001","PEGCC_RMB_001","Abbiamo emesso un rimborso che troverai sul prossimo Conto Fastweb. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","OK","SY_PEG"
"PEGCC_RMB_002","PEGCC_RMB_002","","","KO","SY_PEG"
"PEGCC_RMB_003","PEGCC_RMB_003","","","KO","SY_PEG"
"PEGCC_RMB_004","PEGCC_RMB_004","","","KO","SY_PEG"
"PEGCC_RMB_005","PEGCC_RMB_005","","","KO","SY_PEG"
"PEGCC_RMB_006","PEGCC_RMB_006","","","KO","SY_PEG"
"PEGCC_VAC_001","PEGCC_VAC_001","La tua richiesta è completata","","OK","SY_PEG"
"PEGCC_VAC_002","PEGCC_VAC_002","La tua richiesta non può essere gestita. Per parlare con noi, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
"PEGCC_VAC_003","PEGCC_VAC_003","Abbiamo emesso un rimborso che troverai sul prossimo Conto Fastweb. Se desideri ulteriori informazioni, accedi alla sezione 'Come possiamo aiutarti'","","KO","SY_PEG"
